Course Name,Latitude,Longitude
PINE VALLEY G.C.,39.792235,-74.972227
AUGUSTA NATIONAL G.C.,33.502354,-82.022577
CYPRESS POINT CLUB,36.580509,-121.974148
SHINNECOCK HILLS G.C.,40.894252,-72.439777
OAKMONT C.C.,40.526148,-79.826869
MERION G.C. (East),40.002115,-75.311825
PEBBLE BEACH G. LINKS,36.569888,-121.949766
NATIONAL G. LINKS OF AMERICA,40.915639,-72.449685
SAND HILLS G.C.,41.855487,-101.092794
FISHERS ISLAND CLUB,41.280168,-71.948782
WINGED FOOT G.C. (West),40.957914,-73.753538
SEMINOLE G.C.,26.860346,-80.047350
CRYSTAL DOWNS C.C.,44.702604,-86.234653
CHICAGO G.C.,41.849607,-88.115714
FRIAR'S HEAD G.C.,40.965569,-72.725673
MUIRFIELD VILLAGE G.C.,40.140718,-83.140944
PACIFIC DUNES,43.193806,124.389921
THE COUNTRY CLUB (Clyde/Squirrel),42.315031,-71.147826
LOS ANGELES C.C. (North),34.071313,-118.423381
OAKLAND HILLS C.C. (South),42.545085,-83.277016
WHISTLING STRAITS (Straits),43.851259,-87.735131
OAK HILL C.C. (East),43.113044,-77.532834
RIVIERA C.C.,34.050069,-118.501323
THE OCEAN COURSE,32.640882,-80.029869
WADE HAMPTON G.C.,35.090405,-83.074960
SHADOW CREEK,36.258654,-115.107324
PRAIRIE DUNES C.C.,38.091643,-97.847999
THE HONORS COURSE,35.087497,-85.044144
PINEHURST RESORT (No. 2),35.196264,-79.473608
PEACHTREE G.C.,33.877129,-84.326967
THE ALOTIAN CLUB,34.857623,-92.577013
GOZZER RANCH G. & LAKE C.,47.617354,-116.766233
THE OLYMPIC CLUB (Lake),37.709886,-122.494657
SOUTHERN HILLS C.C.,36.070385,-95.945480
SAN FRANCISCO G.C.,37.711740,-122.476471
BANDON DUNES,43.186003,-124.390870
BETHPAGE STATE PARK (Black),40.745954,-73.452899
THE GOLF CLUB,40.066741,-82.785987
SEBONACK G.C.,40.911007,-72.455751
PIKEWOOD NATIONAL G.C.,39.537713,-79.867076
BALTUSROL G.C. (Lower),40.705217,-74.327997
ERIN HILLS G. CSE.,43.246135,-88.398494
VICTORIA NATIONAL G.C.,38.000980,-87.346458
CAMARGO CLUB,39.181217,-84.333969
SPYGLASS HILL G. CSE.,36.582518,-121.958319
BALLYNEAL G.C.,40.419593,-102.262797
BUTLER NATIONAL G.C.,41.840779,-87.933245
CASTLE PINES G.C.,39.442722,-104.898651
PC SAWGRASS (Players Stadium),30.199933,-81.393834
OLD MACDONALD,43.185824,-124.390908
GARDEN CITY G.C.,40.7257,-73.6432
WINGED FOOT G.C. (East),40.9595,-73.7545
MEDINAH C.C. (No. 3),41.9665,-88.048044
WHISPERING PINES G.C.,30.945786,-95.25021
SHOREACRES,42.298417,-87.840612
MONTEREY PENINSULA C.C. (Shore),36.603455,-121.948617
SCIOTO C.C.,40.007474,-83.075207
INTERLACHEN C.C.,44.915414,-93.380033
OLD SANDWICH G.C.,41.904963,-70.606797
OAK TREE NATIONAL,35.719808,-97.505376
BALTUSROL G.C. (Upper),40.705222,-74.327968
CANYATA G.C.,39.469871,-87.683776
SOMERSET HILLS C.C.,40.723527,-74.588352
PETE DYE G.C.,39.710179,-80.302832
DALLAS NATIONAL G.C.,32.733711,-96.903139
KINLOCH G.C.,37.636181,-77.687369
MAIDSTONE CLUB,40.951797,-72.174592
ARCADIA BLUFFS G.C.,44.456862,-86.242552
BANDON TRAILS,43.185068,-124.391088
THE ESTANCIA CLUB,33.73817,-111.865178
QUAKER RIDGE G.C.,40.965935,-73.761651
CHERRY HILLS C.C.,39.643128,-104.962483
ESSEX COUNTY CLUB,42.584048,-70.763529
MILWAUKEE C.C.,43.166821,-87.941941
OLYMPIA FIELDS C.C. (North),41.52197,-87.685463
MYOPIA HUNT CLUB,42.609401,-70.858082
THE QUARRY AT LA QUINTA,33.624565,-116.274267
KITTANSETT CLUB,41.677727,-70.717343
MONTEREY PENINSULA C.C. (Dunes),36.601777,-121.948335
CONGRESSIONAL C.C. (Blue),38.996438,-77.176478
HUDSON NATIONAL G.C.,41.220223,-73.900734
PLAINFIELD C.C.,40.594661,-74.389916
CALUSA PINES G.C.,26.258963,-81.671666
VALHALLA G.C.,38.242849,-85.472042
ARONIMINK G.C.,40.011816,-75.409086
THE VALLEY CLUB OF MONTECITO,34.43327,-119.615318
BOSTON G.C.,42.193373,-70.89778
INVERNESS CLUB,41.742691,-83.643563
SLEEPY HOLLOW C.C,41.124194,-73.861501
DIAMOND CREEK G.C.,36.15275,-81.835581
THE G.C. AT BLACK ROCK,47.511562,-116.87041
DOUBLE EAGLE CLUB,40.24345,-82.949656
SPRING HILL G.C.,44.997298,-93.540912
RICH HARVEST LINKS,41.753862,-88.486464
YEAMANS HALL CLUB,32.926513,-79.977907
THE PRESERVE G.C.,36.534669,-121.868539
BLACKWOLF RUN (River),43.727082,-87.775916
OLD TOWN CLUB,36.124647,-80.271688
CROOKED STICK G.C.,39.946528,-86.193029
MAYACAMA G.C.,38.528184,-122.733709
